fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-05-13,Martes,VESPERTINA,6812,9733,6395,4130,2068,0314,9585,6996,2746,7396,9949,5362,0089,3096,6362,5530,3947,9683,7136,2077
2025-05-13,Martes,NOCTURNA,1679,8737,6349,2348,5272,0839,0301,2318,6684,2284,8872,2139,1509,1108,4683,8652,9819,9609,3775,8950
2025-05-14,Miércoles,LA PREVIA,8906,8187,0294,4661,7387,7360,3203,5619,0996,0208,6719,7088,6331,3794,9985,0656,3547,0940,8662,8184
2025-05-14,Miércoles,LA PRIMERA,3564,0986,6867,6957,9819,3975,7243,3822,7733,1117,3579,4340,4893,9751,3359,9204,6110,9077,1287,4176
2025-05-14,Miércoles,MATUTINA,1765,7856,4653,5135,8076,0553,2428,3102,4237,1382,5136,4308,2092,4132,3146,4611,0298,3346,6268,6679
2025-05-14,Miércoles,VESPERTINA,0692,1028,2396,3806,5787,2974,7608,5615,8516,7732,9895,6468,1940,6370,2097,8563,2797,5579,3418,3267
2025-05-14,Miércoles,NOCTURNA,8857,6781,6776,3961,5677,1542,2801,9443,2563,2608,5157,7921,6448,0458,9455,3491,5317,2809,5207,8713
2025-05-15,Jueves,LA PREVIA,2017,2036,5951,1280,4993,1479,9239,9516,5970,4294,0507,7251,7251,3163,5814,4293,8157,1305,9625,8423
2025-05-15,Jueves,LA PRIMERA,0746,0863,8248,8805,5621,8162,9864,5704,8632,7592,8679,1647,9254,6684,9850,9951,1579,1446,7149,1997
2025-05-15,Jueves,MATUTINA,1708,6138,3031,7017,9693,4337,2387,0976,4376,6933,5514,3774,4814,4062,0350,4017,0047,2063,0724,9045
2025-05-15,Jueves,VESPERTINA,8057,4304,8135,3250,1379,8144,9664,6425,4443,8948,0904,8483,3960,2804,1040,2694,8495,1245,4910,7151
2025-05-15,Jueves,NOCTURNA,8139,1888,4233,1072,1565,9865,0846,2998,1864,4250,0000,5676,3663,6320,8180,7294,6266,0418,4688,8204
2025-05-16,Viernes,LA PREVIA,8608,8438,7241,1960,8914,7591,0165,7448,0135,5562,5337,0092,6917,7698,2716,0520,7141,6221,6951,6194
2025-05-16,Viernes,LA PRIMERA,3040,0871,8706,5212,4681,6474,8394,8345,7463,5688,2437,8483,8965,7813,8537,3340,5796,3433,3615,0144
2025-05-16,Viernes,MATUTINA,6643,7178,6972,0983,3120,3470,8312,3148,9126,5672,4193,5507,1969,2936,5782,1706,1653,7999,4586,7181
2025-05-16,Viernes,VESPERTINA,9464,6885,2404,3945,0620,3346,3084,7295,7628,8296,1114,9944,3371,6588,8320,9973,0780,1268,1759,4580
2025-05-16,Viernes,NOCTURNA,8880,0647,6030,0365,6352,4273,5563,4470,7326,6873,3990,7394,3263,3896,6665,6354,6160,4423,8730,1367
2025-05-17,Sábado,LA PREVIA,3264,9021,4732,1020,5842,9521,4325,1589,6346,0543,0376,7097,4425,7136,4985,0765,2449,2653,9545,9673
2025-05-17,Sábado,LA PRIMERA,9171,8198,2369,6129,7162,7887,4539,9693,5062,4664,0954,0301,3759,0315,5764,8314,0988,3140,8343,9675
2025-05-17,Sábado,MATUTINA,5059,6886,1349,6450,0538,1568,5627,3550,8992,7251,4804,5254,6955,9923,5495,8518,3516,7489,4616,7575
2025-05-17,Sábado,VESPERTINA,6599,3906,1026,9818,8639,1066,2963,4733,4775,9878,4475,2208,0652,1215,2438,2087,7931,0618,1814,9546
2025-05-17,Sábado,NOCTURNA,2919,8806,5847,2107,3501,5536,1979,0413,9942,1033,3050,2625,0535,1613,6350,4346,2311,9227,8928,8153
2025-05-19,Lunes,LA PREVIA,2461,2254,8956,6351,6161,4381,0728,1112,1680,2716,4140,3688,1656,0603,2319,5240,5778,3710,2611,4800
2025-05-19,Lunes,LA PRIMERA,5325,1893,2341,9058,6245,8204,4954,4160,3410,5992,6552,8941,4297,2450,3548,3792,6912,6633,7435,9320
2025-05-19,Lunes,MATUTINA,6221,3795,8955,8515,6864,3790,3446,7320,5524,3698,2634,1482,8246,3160,8064,9054,8584,3919,8671,1694
2025-05-19,Lunes,VESPERTINA,4228,2944,1089,1537,2032,5531,2850,3485,1487,6652,8810,4325,9815,2756,4178,4143,3295,1302,9533,4554
2025-05-19,Lunes,NOCTURNA,6028,9648,0359,1008,3280,2046,8921,5097,1716,9329,8673,4261,3502,2557,8704,2118,5206,1660,0871,1253
2025-05-20,Martes,LA PREVIA,0330,8011,6166,0685,7250,0272,4602,2935,4770,6421,1308,8790,9835,7637,0337,0909,9219,9756,3802,7929
2025-05-20,Martes,LA PRIMERA,8445,5088,0674,8545,1539,1758,6816,5790,7009,7174,8560,4291,7091,2319,9237,3808,8424,3912,1048,8577
2025-05-20,Martes,MATUTINA,5011,9332,9972,9939,6059,9208,5086,2402,1899,1382,4369,6853,0052,8995,7710,1243,4792,4236,2844,0933
2025-05-20,Martes,VESPERTINA,5148,8324,7596,1575,1150,9131,2018,6600,4278,1590,7848,2634,8952,8596,9786,1805,9590,1859,2529,3344
2025-05-20,Martes,NOCTURNA,6736,5052,0615,1316,8920,0283,0831,2662,3471,7128,6463,0742,1936,9870,3546,0519,1123,9842,0146,0789
2025-05-21,Miércoles,LA PREVIA,5641,0884,0738,9933,9844,4859,1921,3267,0514,6685,3913,9329,5155,1916,9311,1883,6724,7426,6931,5781
2025-05-21,Miércoles,LA PRIMERA,3801,0325,4304,2821,3646,0277,6418,9081,6677,9206,7601,0184,4566,9494,8987,3643,5291,1837,2618,2778
